ID;Obra;ApellAutor;NomAutor;Tonalidad;Opus;Duracion
486;Gimnopedias n. 1 y n. 2;Satie; Erik;8' 08;;
487;Danza Espagnola n. 5 “Andaluza”;Granados; Enrique;37 / 5;4' 37;
488;Cuarteto para cuerdas “La caza”;Mozart; Wolfgang Amadeus;Si b M;K 458;22' 30
489;Concierto para violin y orquesta n. 2;Mozart; Wolfgang Amadeus;Re M;K 211;20' 42
490;1º movimiento de Sinfonia n. 4 “La italiana”;Mendelssohn-Bartholdy; Felix;La M;10' 29;
491;Tres piezas de orquesta;Berg; Alban;6;21' 04;
492;Baladas;Brahms; Johannes;10;25' 01;
493;Ivan el terrible;Rimsky-Korsakov; Nicolai;4' 07;;
494;Vals n. 10;Chopin; Frederic;Si m;69 / 2;3' 22
495;Sinfonia n. 5;Shostakovich; Dmitri;Re m;47;44' 17
496;Motete “Gaudent in coelis”;De Victoria; Tomas Luis;34' 06;;
497;Capricho arabe;Tarrega; Francisco;5' 04;;
498;Coronado con honor;Ketelbey; Albert;5' 20;;
499;Marcha de Pompa y circunstancia n. 5;Elgar; Edward;39 / 5;5' 25;
500;Rapsodia para violin y orquesta n. 2;Bartok; Bela;10' 52;;
501;Sinfonia n. 3 “Eroica”;Beethoven; Ludwig Van;Mi m;55;49' 55
502;Concierto para clarinete y orquesta;Mozart; Wolfgang Amadeus;La M;K 622;28' 19
503;La Walkyria: Cabalgata de las Walkyrias.;Wagner; Richard;6' 08;;
504;Melodia n. 1;Rubinstein; Anton;Fa M;3;2' 50
505;Sinfonia n. 5;Tchaikovsky; Piotr Ilyich;Mi m;64;46' 06
506;Sinfonia concertante para oboe y clarinete;Mozart; Wolfgang Amadeus;Mi b M;K 297 b;30' 09
507;Sonata para clavicembalo;Scarlatti; Domenico;Sol M;K 348;2' 28
508;Pequegna Suite;Bartok; Bela;Sz 105;6' 43;
509;Octeto (Postumo);Schubert; Franz;Fa M;D 803;57' 25
510;2 Piezas para piano;Mendelssohn-Bartholdy; Felix;5' 36;;
511;Cuarteto de cuerda “Americano”;Dvorak; Antonin;Fa M;96;25' 36
512;I Pagliacci;Leoncavallo; Ruggero;79' 57;;
513;Romanzas sin palabaras;Mendelssohn-Bartholdy; Felix;53;16' 12;
